Name,Injury
Hyun Jin Ryu,"['Forearm inflammation', 'Tommy John surgery']"
Tim Mayza,"['Forearm inflammation', 'Shoulder dislocation (non-throwing)']"
Keynan Middleton,"['Elbow inflammation', 'Strained ankle', 'Sprained toe']"
Kyle Nelson,"['Lower back spasms', 'Elbow inflammation']"
Kirby Yates,"['Tommy John surgery', 'Elbow inflammation']"
Alec Mills,"['Strained lower back', 'Back surgery (discectomy)']"
Lucas Sims,"['Elbow/back soreness', 'Back surgery']"
Mike Minor,"['Shoulder soreness', 'Shoulder soreness']"
Art Warren,"['Strained forearm', 'Elbow surgery']"
Antonio Senzatela,"['Strained lower back', 'Shoulder inflammation', 'Torn knee ligament', 'Knee surgery', 'Strained elbow']"
Chad Kuhl,"['Strained hip flexor', 'Strained triceps']"
Anthony Bender,"['Back tightness', 'Tommy John surgery']"
Edward Cabrera,"['Elbow tendinitis', 'Sprained ankle']"
Tommy Nance,"['Strained groin', 'Strained groin']"
Trevor Rogers,"['Lower back spasms', 'Strained lat']"
Tommy Kahnle,"['Tommy John surgery', 'Forearm inflammation']"
Caleb Ferguson,"['Tommy John surgery', 'Forearm tendinitis']"
Dustin May,"['Tommy John surgery', 'Lower back tightness']"
Blake Treinen,"['Shoulder discomfort', 'Shoulder tightness']"
Andrew Heaney,"['Shoulder discomfort', 'Shoulder inflammation']"
Brusdar Graterol,"['Shoulder inflammation', 'Elbow inflammation']"
Jandel Gustave,"['Strained hamstring', 'Forearm discomfort']"
Freddy Peralta,"['Strained lat', 'Shoulder inflammation']"
Luis Perdomo,"['Elbow effusion', 'Strained calf']"
Trevor Gott,"['Strained groin', 'Strained forearm']"
Aaron Ashby,"['Forearm inflammation', 'Shoulder inflammation']"
Adrian Houser,"['Strained flexor tendon', 'Strained groin']"
Víctor Arano,"['Knee inflammation', 'Strained shoulder']"
Tylor Megill,"['Biceps inflammation', 'Strained shoulder']"
Max Scherzer,"['Strained oblique', 'Strained oblique']"
Colin Holderman,"['Shoulder impingement', 'Shoulder discomfort']"
Tommy Hunter,"['Lower back tightness', 'Lower back tightness']"
Kent Emanuel,"['Elbow surgery', 'Strained shoulder']"
Max Kranick,"['Strained forearm', 'Tommy John surgery']"
Drew VerHagen,"['Hip impingement', 'Shoulder impingement', 'Hip surgery']"
Steven Matz,"['Shoulder impingement', 'Sprained knee (torn MCL)']"
Jordan Hicks,"['Strained forearm', 'Arm fatigue']"
Adrian Morejon,"['Tommy John surgery', 'Shoulder inflammation']"
Mike Clevinger,"['Knee soreness', 'Strained triceps']"
Jose Alvarez,"['Strained lower back', 'Tommy John surgery']"
Mychal Givens,"['Knee inflammation', 'Shoulder inflammation']"
Joe Mantiply,"['Shoulder inflammation', 'Strained hamstring']"
Kyle Wright,"['Shoulder fatigue', 'Strained shoulder']"
Max Fried,"['Strained hamstring', 'Strained forearm']"
Brandon Hughes,"['Knee inflammation', 'Knee inflammation']"
Andrew Bellatti,"['Strained shoulder', 'Triceps tendinitis']"
Germán Márquez,"['Strained forearm', 'Tommy John surgery']"
Vince Velasquez,"['Elbow inflammation', 'Elbow discomfort']"
Alex Wood,"['Strained hamstring', 'Strained lower back']"
