time,x,y,z,x^,y^,z^,x^^,y^^,z^^,phi,theta,psi,phi^,theta^,psi^,phi^^,theta^^,psi^^
13.1008,0.8430176,0.5366211,0.7839355,2.929688,1.782226,2.79785,-11.89994126,47.0679953,58.00734993,-0.2254093,-1.464855,-0.149662,-2.6022866,-31.874952,-2.3212882,-59.61894936,-582.0435711,-29.81355124
13.1508,0.5827637,0.4501953,0.6687012,-5.205078,-1.728516,-2.304686,-162.69532,-70.21484,-102.05072,-0.07941248,-0.1747075,-0.1099557,2.9199364,25.80295,0.794126,110.44446,1153.55804,62.308284
13.20081,0.5769043,0.4475098,0.6687012,-0.117164567,-0.05369926,0,101.7379211,33.48963687,46.0845031,-0.01649336,0.6383542,0.1343904,1.258130774,16.2579824,4.885944811,-33.22946663,-190.8611797,81.82001222
13.25081,0.6384277,0.427002,0.8591309,1.230468,-0.410156,3.808594,26.95265134,-7.129134797,76.17188,0.007941248,-0.1130101,0.05436701,0.48869216,-15.027286,-1.6004678,-15.38877228,-625.7053681,-129.7282522
13.30081,0.5952148,0.3457031,0.5637207,-0.864258,-1.625978,-5.908204,-41.89452,-24.31644,-194.33596,0.02626721,-0.4074471,0.09040806,0.36651924,-5.88874,0.720821,-2.4434584,182.77092,46.425776
13.35081,0.6403809,0.404541,0.5793457,0.903322,1.176758,0.3125,35.3516,56.05472,124.41408,0.002443461,-0.03176499,0.08796459,-0.47647498,7.5136422,-0.0488694,-16.8598844,268.047644,-15.393808
13.40082,0.5036621,0.4289551,0.5979004,-2.733829234,0.488184363,0.371019796,-72.72847899,-13.76871899,1.170161888,0.01710423,0.2797763,0.1661554,0.293156749,6.229579884,1.563503499,15.38955666,-25.6761111,32.24100978
13.45082,0.7670898,0.3964844,0.6657715,5.268554,-0.649414,1.357422,160.0476647,-22.75196726,19.72804408,0.08246681,-0.4318817,0.1582141,1.3072516,-14.23316,-0.158826,20.28189703,-409.2547977,-34.44658999
13.50082,0.4765625,0.644043,0.3735352,-5.810546,4.951172,-5.844726,-221.582,112.01172,-144.04296,0.4361578,-0.4520403,-0.2590069,7.0738198,-0.403172,-8.34442,115.331364,276.59976,-163.71188
13.55083,0.6420898,0.404541,0.7058105,3.309884023,-4.789082184,6.644177165,182.372126,-194.7661304,249.7281177,0.1343904,-0.7403687,-0.09590584,-6.034141172,-5.765414917,3.261368926,-262.1067981,-107.2234137,232.0693647
13.60083,0.5876465,0.3986816,0.699707,-1.088866,-0.117188,-0.12207,-87.97500046,93.43788367,-135.3249433,0.1343904,-0.4679228,-0.2089159,0,5.448918,-2.2602012,120.6828234,224.2866583,-110.4314025
13.65083,0.6452637,0.4047852,0.588623,1.152344,0.122072,-2.22168,44.8242,4.7852,-41.9922,0.0439823,0.140499,-0.09101892,-1.808162,12.168436,2.3579396,-36.16324,134.39036,92.362816
13.70084,0.7111816,0.4289551,0.5095215,1.318094381,0.48330134,-1.581713657,3.314344754,7.223142166,12.7967675,-0.01038471,-0.1710423,0.004886922,-1.087122775,-6.229580084,1.917733293,14.41790091,-367.8867443,-8.80236566
13.75084,0.6677246,0.451416,0.6367188,-0.86914,0.449218,2.543946,-43.74468762,-0.681666795,82.51319315,0.02015855,-0.7104363,-0.04276057,0.6108652,-10.78788,-0.95294984,33.95975951,-91.16599832,-57.41366267
13.80084,0.6252441,0.480957,0.7114258,-0.84961,0.59082,1.49414,0.3906,2.83204,-20.99612,0.0299324,-0.4294383,-0.04031711,0.195477,5.61996,0.0488692,-8.307764,328.1568,20.0363808
13.85085,0.7058105,0.4377441,0.583252,1.611005799,-0.864085183,-2.562963407,49.20247548,-29.0922852,-81.12584298,-0.02748894,0.2828306,-0.07269296,-1.148197161,14.24252949,-0.647387522,-26.86810959,172.4169065,-13.92234998
13.90085,0.7485352,0.4047852,0.4934082,0.854494,-0.659178,-1.796876,-15.13023598,4.098143659,15.32174815,-0.07941248,-0.1508837,0.06780604,-1.0384708,-8.674286,2.80998,2.194527211,-458.3363099,69.14735045
13.95085,0.6721191,0.4584961,0.5290527,-1.528322,1.074218,0.71289,-47.65632,34.66792,50.19532,-0.05864307,-0.2229658,-0.009773844,0.4153882,-1.441642,-1.55159768,29.07718,144.65288,-87.2315536
14.00085,0.6955566,0.4538574,0.6159668,0.46875,-0.092774,1.738282,39.94144,-23.33984,20.50784,-0.04459316,-0.3139847,0.02382374,0.2809982,-1.820378,0.67195168,-2.6878,-7.57472,44.4709872
14.05086,0.6845703,0.4506836,0.5986328,-0.219682064,-0.063463307,-0.346610678,-13.76588809,0.586096634,-41.68951565,-0.03665191,0.03604105,-0.01649336,0.158793241,6.999115177,-0.806180764,-2.443610451,176.3545926,-29.55673753
14.10086,0.6477051,0.4580078,0.5361328,-0.737304,0.146484,-1.25,-10.35243873,4.198946147,-18.06778644,-0.03726278,0.2608395,0.05009095,-0.0122174,4.495969,1.3316862,-3.420212827,-50.06292354,42.75733928
14.15086,0.7341309,0.4504395,0.5368652,1.728516,-0.151366,0.014648,49.3164,-5.957,25.29296,-0.000610865,0.07391469,-0.003054326,0.733038296,-3.7384962,-1.06290552,14.90511392,-164.689304,-47.8918344
14.20087,0.6896973,0.4277344,0.5637207,-0.888494301,-0.454011198,0.537002599,-52.32974007,-6.051693616,10.44500299,0.004276057,-0.08552113,-0.004886922,0.0977189,-3.188078784,-0.036644591,-12.70384715,11.00614709,20.52111436
14.25087,0.6943359,0.4550781,0.557373,0.092772,0.546874,-0.126954,19.62532602,20.01770396,-13.27913199,-0.006108652,-0.1484403,0.01160644,-0.20769418,-1.2583834,0.32986724,-6.108261604,38.59390768,7.330236622
14.30087,0.6791992,0.4467773,0.5537109,-0.302734,-0.166016,-0.073242,-7.91012,-14.2578,1.07424,0.01343904,-0.05864307,0.02076942,0.39095384,1.7959446,0.1832596,11.9729604,61.08656,-2.9321528
14.35088,0.7050781,0.4458008,0.5527344,0.517474505,-0.019526095,-0.019526095,16.40088992,2.929212262,1.074103284,0.02260201,-0.07635815,-0.01832596,0.183222755,-0.354230754,-0.78175125,-4.153790933,-42.9949081,-19.29635772
14.40088,0.7163086,0.4331055,0.5407715,0.22461,-0.253906,-0.239258,-5.857290102,-4.687598104,-4.394638104,0.01466077,-0.1881465,-0.05131268,-0.1588248,-2.235767,-0.6597344,-6.840951109,-37.63072492,2.440336995
14.45088,0.734375,0.4594727,0.567627,0.361328,0.527344,0.53711,2.73436,15.625,15.52736,0.02321288,-0.09224065,-0.0122173,0.1710422,1.918117,0.7819076,6.59734,83.07768,28.83284
14.50089,0.6882324,0.4677734,0.5537109,-0.922667467,0.165980804,-0.278266347,-25.67477438,-7.225818759,-16.30426608,0.03420845,0.07757989,0.05986479,0.219867427,3.395731654,1.441353529,0.976309268,29.5463838,13.18628133
14.55089,0.7351074,0.4477539,0.583252,0.9375,-0.40039,0.590822,37.20334933,-11.32741608,17.38176693,0.005497787,0.06475171,0.1056797,-0.57421326,-0.2565636,0.9162982,-15.88161373,-73.04590507,-10.50110659
14.60089,0.6796875,0.4394531,0.5317383,-1.108398,-0.166016,-1.030274,-40.91796,4.68748,-32.42192,-0.01710423,0.006108652,0.1154535,-0.45204034,-1.17286116,0.195476,2.4434584,-18.3259512,-14.416444
14.65089,0.6989746,0.4135742,0.5556641,0.385742,-0.517578,0.478516,29.8828,-7.03124,30.1758,-0.0561996,-0.02443461,0.1062905,-0.7819074,-0.61086524,-0.18326,-6.5973412,11.2399184,-7.57472
