time,x,y,z,phi,theta,psi
5.700348,0.5634766,0.2939453,0.7578125,0.02382374,-0.01343904,-0.06291912
5.750351,0.5849609,0.3059082,0.7561035,0.003665192,0.006719518,-0.03970624
5.800354,0.5673828,0.3112793,0.753418,-0.01282817,-0.004886922,-0.04764749
5.850357,0.5893555,0.3017578,0.7558594,-0.007941248,-0.01771509,-0.02687807
5.90036,0.5698242,0.3012695,0.7587891,-0.003054326,0.03604105,-0.04459316
5.950363,0.5830078,0.307373,0.7441406,0.02748894,0.1026254,-0.02443461
6.000366,0.5805664,0.3051758,0.7531738,0.03420845,0.04764749,-0.01954769
6.050369,0.5627441,0.3278809,0.7773438,0.04031711,-0.06475171,-0.01832596
6.100372,0.5605469,0.3132324,0.7497559,0.03115413,0.007941248,-0.02504547
6.150375,0.5646973,0.3227539,0.7509766,0.02199115,0.01527163,-0.01954769
6.200378,0.5649414,0.314209,0.7568359,0.02687807,0.07391469,-0.04031711
6.250381,0.5905762,0.3193359,0.7797852,0.03237586,0.009162978,-0.02260201
6.300385,0.5888672,0.2807617,0.8056641,0.02932153,0.05925393,0.003054326
6.350388,0.5830078,0.4089355,0.744873,0.09896017,0.1661554,0.01466077
6.400391,0.5783691,0.2470703,0.7402344,0.02382374,-0.185703,0.03420845
6.450394,0.4682617,0.3679199,0.7463379,-0.01282817,-0.204029,-0.06475171
6.500397,0.5598145,0.3496094,0.769043,0.06291912,-0.009773844,-0.08185595
6.5504,0.5585938,0.345459,0.8664551,0.05925393,0.1001819,-0.1191187
6.600403,0.635498,0.322998,0.7946777,-0.1887574,-0.2370157,-0.1832596
6.650406,0.5151367,0.3476563,0.5878906,-0.1215622,-0.07024951,-0.07513642
6.700409,0.4111328,0.3659668,0.6882324,-0.1209513,-1.375669,0.09651671
6.750412,0.4716797,0.2995605,0.7651367,0.1612684,0.1209513,-0.1924226
6.800415,0.6154785,0.3549805,0.8383788,0.2272419,0.5314528,-0.2791654
6.850418,0.611084,0.3200684,0.729248,-0.04337143,0.5681047,0.3133739
6.900421,0.3791504,0.3735352,0.5690918,-0.086132,-0.1191187,-0.1850922
6.950424,0.5876465,0.3395996,0.715332,0.01954769,-0.00122173,-0.1166753
7.000427,0.4274903,0.4187011,0.8081055,-0.003665192,-0.2883284,-0.2370157
7.05043,0.6787109,0.3342285,0.7565918,-0.03054326,0.02871067,-0.06902777
7.100433,0.5534668,0.3496094,0.7409668,-0.02199115,0.1282817,-0.1576032
7.150436,0.5522461,0.3684082,0.732666,-0.04092797,-0.2535091,-0.2926044
7.200439,0.6577148,0.3771973,0.6870117,0.05742133,0.08124508,-0.2247984
7.250443,0.6274414,0.3586426,0.6542969,0.01954769,-0.08552113,-0.03787364
7.300446,0.5854492,0.3681641,0.796875,0.01893682,0.03481932,0.1930334
7.350449,0.5961914,0.3662109,0.703125,0.007330383,0.1233948,0.08124508
7.400452,0.5805664,0.4023438,0.6252441,0.1484403,0.007941248,0.06352998
7.450455,0.6103516,0.3693848,0.7456055,0.03237586,-0.1936443,0.1459968
7.500458,0.5214844,0.3979492,0.7338867,0.09590584,0.1459968,0.1429425
7.550461,0.4699707,0.4023438,0.7600098,-0.02260201,-0.3769039,0.1282817
7.600464,0.5646973,0.361084,0.6772461,0.06047566,0.02076942,0.1252274
7.650467,0.5983887,0.3305664,0.7180176,0,-0.09224065,0.05253441
7.70047,0.5678711,0.3657227,0.7272949,-0.0122173,-0.1551598,0.06780604
7.750473,0.5610352,0.3400879,0.7253418,0.006719518,0.009162978,0.1453859
7.800476,0.5793457,0.3515625,0.722168,0.004276057,0.1667662,0.1527163
7.850479,0.5556641,0.3305664,0.7241211,0.01649336,0.03054326,0.03176499
7.900482,0.5766602,0.3425293,0.7275391,0.01160644,0.005497787,-0.0280998
7.950485,0.5856934,0.3261719,0.7419434,0.01771509,0.03726278,-0.0122173
8.000488,0.5878906,0.328125,0.7324219,0.01038471,0,0.01649336
8.050491,0.5864258,0.3493652,0.7331543,-0.01343904,-0.05009095,0.01893682
8.100494,0.6245117,0.3493652,0.7297363,-0.03665191,-0.09224065,0.03359759
8.150497,0.5483398,0.3383789,0.7199707,-0.05558874,-0.1624902,0.02199115
8.2005,0.5852051,0.3376465,0.7141113,-0.05131268,-0.09529497,0.02626721
8.250504,0.5820313,0.3154297,0.6674805,0.04520403,0.08124508,-0.02260201
8.300507,0.6005859,0.3215332,0.6879883,0.1026254,0.1093449,0.01893682
8.35051,0.5083008,0.3393555,0.6887207,0.1618793,0.3316998,-0.07696902
8.400513,0.6257324,0.333252,0.732666,0.1154535,0.5516113,-0.01710423
8.450516,0.5151367,0.3986816,0.8850097,0.03481932,0.7605273,0.03787364
8.500519,0.6408691,0.3498535,0.8244629,-0.06230826,0.7452556,0.09957103
8.550522,0.5622559,0.3071289,0.9374999,-0.2828306,0.4831944,0.3115413
8.600525,0.5073242,0.3308105,0.8220215,-0.394619,0.1056797,0.2565634
8.650528,0.5715332,0.3000488,0.8071289,-0.3659083,-0.1453859,0.2944371
8.700531,0.4863281,0.3024902,0.7927246,-0.2956588,-0.1423316,0.421497
8.750534,0.4729004,0.2067871,0.6743164,-0.3927864,-0.00122173,0.376293
8.800537,0.4606934,0.2675781,0.7988281,-0.2504548,0.4184427,0.3646865
8.85054,0.520752,0.1936035,0.8955078,-0.4703662,0.1802052,0.3457497
8.900543,0.5148926,0.1784668,0.8522949,-0.5015204,0.09468412,0.3347542
8.950546,0.5085449,0.1589355,0.7883301,-0.3298672,-0.06414085,0.3463606
9.000549,0.4616699,0.1315918,0.8361816,-0.3872886,-0.1753183,0.2889393
9.050552,0.4570313,0.08813477,0.8901367,-0.117897,0.004276057,0.2217441
9.100555,0.4597168,0.1120605,0.8227539,-0.05864307,0.007941248,0.1563815
9.150558,0.4685058,0.09790039,0.8374023,-0.01710423,0.01099557,0.07330383
9.200562,0.4838867,0.1047363,0.8364257,0.03848451,-0.003665192,0.04092797
9.250565,0.5024414,0.09179688,0.8327637,0.08002335,0.01160644,0.02748894
9.300568,0.4716797,0.1003418,0.849121,0.1325578,0.00122173,-0.03604105
9.350571,0.5043945,0.1005859,0.8432617,0.06169739,-0.008552114,-0.02687807
9.400574,0.4797364,0.121582,0.8486328,0.06597345,-0.04153884,-0.06658431
9.450577,0.5141602,0.1350098,0.8273926,0.08674286,-0.1307252,-0.06475171
9.50058,0.5163574,0.1333008,0.826416,0.1368338,-0.2058616,-0.1227839
9.550583,0.536377,0.1452637,0.8078613,0.2058616,-0.2816089,-0.1001819
9.600586,0.517334,0.1601563,0.8178711,0.2528982,-0.3121521,-0.1350012
9.650589,0.5266113,0.1931152,0.7788086,0.4544837,-0.3084869,-0.1899791
9.700592,0.5073242,0.1889648,0.854248,0.4245513,-0.2981022,-0.2535091
9.750595,0.5861816,0.2084961,0.8283691,0.5051855,-0.1710423,-0.2522874
9.800598,0.5510254,0.2226563,0.8422851,0.3543018,-0.1661554,-0.2193006
9.850601,0.6186523,0.2556152,0.7836914,0.3597996,-0.1685988,-0.2541199
9.900604,0.5722656,0.2575684,0.7617188,0.2571743,-0.1832596,-0.1557706
9.950607,0.5473633,0.3041992,0.7995605,0.2504548,-0.2968805,-0.2247984
10.00061,0.564209,0.2983398,0.703125,0.2638938,-0.3371976,-0.3121521
10.05061,0.5793457,0.3034668,0.7834473,0.06658431,-0.3182608,-0.2919936
10.10062,0.6413574,0.3474121,0.7329102,0.08491027,-0.1826487,-0.2461787
10.15062,0.5568848,0.3288574,0.7128906,0.1246165,-0.08124508,-0.280998
10.20062,0.5849609,0.3476563,0.7189941,0.1441642,-0.1093449,-0.2437352
10.25063,0.598877,0.3728027,0.7333984,0.1356121,-0.1362229,-0.2736676
10.30063,0.5922852,0.3742676,0.7128906,0.1227839,-0.08368854,-0.2394592
10.35063,0.6245117,0.3991699,0.7370605,0.05864307,-0.086132,-0.2522874
10.40063,0.5974121,0.3974609,0.6784668,0.06536258,-0.08307768,-0.2247984
10.45064,0.5866699,0.439209,0.6293945,0.2516765,0.2290745,-0.2028073
10.50064,0.6149902,0.4179687,0.6838379,0.4086688,0.3158173,-0.1252274
10.55064,0.6013184,0.4545898,0.7006836,0.3255912,0.181427,-0.03543019
10.60065,0.5883789,0.4492188,0.7419434,0.2180789,0.08185595,-0.004886922
10.65065,0.5605469,0.4558105,0.7351074,0.08307768,0.01038471,0.0158825
10.70065,0.576416,0.4487305,0.7358398,-0.002443461,-0.02382374,0.05314527
10.75066,0.5603027,0.4445801,0.730957,-0.07024951,-0.04642576,0.05192355
10.80066,0.5322266,0.4375,0.7275391,-0.09468412,-0.004886922,0.03481932
10.85066,0.5476074,0.4404297,0.7321777,-0.1185079,-0.009162978,0.004886922
10.90067,0.5229492,0.4375,0.7138672,-0.1191187,-0.02015855,-0.03481932
10.95067,0.5214844,0.428711,0.7165527,-0.1466077,-0.1166753,-0.06597345
11.00067,0.536377,0.4260254,0.7045898,-0.1698205,-0.204029,-0.1062905
11.05067,0.5251465,0.4343262,0.7077637,-0.1673771,-0.149662,-0.1527163
11.10068,0.5551758,0.4260254,0.6958008,-0.172264,-0.271835,-0.181427
11.15068,0.5297852,0.4372559,0.6879883,-0.1527163,-0.2431244,-0.217468
11.20068,0.5498047,0.4453125,0.6865234,-0.1343904,-0.1557706,-0.217468
11.25069,0.5751953,0.4460449,0.6728516,-0.1050688,-0.1795944,-0.2089159
11.30069,0.5537109,0.4489746,0.6716309,-0.09529497,-0.1551598,-0.235794
11.35069,0.5671387,0.4587402,0.6611328,-0.07330383,-0.07330383,-0.2284636
11.4007,0.5864258,0.4589844,0.6645508,-0.06291912,-0.09040806,-0.2028073
11.4507,0.6049805,0.4589844,0.6750488,-0.06108652,-0.05986479,-0.1783727
11.5007,0.6096191,0.461914,0.6787109,-0.06352998,-0.04642576,-0.1081231
11.5507,0.595459,0.4770508,0.6711426,-0.06169739,-0.01710423,-0.006108652
11.60071,0.5944824,0.4724121,0.6779785,-0.04153884,0.04276057,0.04031711
11.65071,0.5681152,0.4250489,0.6550293,0,0.04642576,0.06352998
11.70071,0.5683594,0.4506836,0.6474609,0.04459316,-0.006719518,0.08368854
11.75072,0.5566406,0.4836426,0.6828613,0.1368338,-0.08246681,0.0720821
11.80072,0.5444336,0.4658203,0.6791992,0.1441642,-0.06108652,0.05864307
11.85072,0.5749512,0.4736328,0.6826172,0.1484403,0.122173,0.1032362
11.90073,0.588623,0.4768067,0.6689453,0.1362229,0.1056797,0.1233948
11.95073,0.5878906,0.4699707,0.6450195,0.12706,0.1484403,0.2119702
12.00073,0.5893555,0.4394531,0.6484375,0.1392773,0.1105666,0.2614503
12.05074,0.5559082,0.5031738,0.628418,0.1869248,-0.002443461,0.321926
12.10074,0.5952148,0.513916,0.6237793,0.3213151,0.04886922,0.3518584
12.15074,0.6003418,0.454834,0.7080078,0.4410447,0.03054326,0.2797763
12.20074,0.6259766,0.3945313,0.7045898,0.3872886,-0.03054326,0.2736676
12.25075,0.5678711,0.4770508,0.6936035,0.3182608,0.02504547,0.3145956
12.30075,0.5983887,0.4526367,0.6442871,0.3255912,0.1111775,0.2822197
12.35075,0.5480957,0.4289551,0.7099609,0.2437352,0.108734,0.2217441
12.40076,0.5361328,0.4052734,0.7258301,0.1423316,0.2663372,0.1411099
12.45076,0.5610352,0.4394531,0.6772461,0.01710423,-0.04153884,0.04886922
12.50076,0.5595703,0.4343262,0.6713867,-0.07086037,-0.3549127,0.02871067
12.55077,0.5644531,0.4443359,0.6853027,-0.1398881,-0.0299324,-0.06475171
12.60077,0.5656738,0.4299317,0.6862793,-0.1734857,-0.01649336,-0.131336
12.65077,0.5668945,0.475586,0.6896973,-0.1966986,-0.1502728,-0.08735373
12.70078,0.5629883,0.4453125,0.6516113,-0.149662,0.385456,-0.1453859
12.75078,0.645752,0.4414063,0.5974121,-0.09040806,0.5852089,-0.1441642
12.80078,0.6467285,0.515625,0.6586914,-0.06536258,0.299324,-0.1484403
12.85078,0.611084,0.4445801,0.6608887,-0.1441642,-0.7305948,-0.1569924
12.90079,0.4885254,0.4472656,0.5568848,-0.1930334,-0.3842342,-0.0580322
12.95079,0.6247559,0.5241699,0.6474609,-0.07635815,-0.140499,0.01160644
13.00079,0.5202637,0.4760742,0.6491699,-0.1142318,0.267559,0.007941248
13.0508,0.6965332,0.4475098,0.644043,-0.09529497,0.1288926,-0.03359759
13.1008,0.8430176,0.5366211,0.7839355,-0.2254093,-1.464855,-0.149662
13.1508,0.5827637,0.4501953,0.6687012,-0.07941248,-0.1747075,-0.1099557
13.20081,0.5769043,0.4475098,0.6687012,-0.01649336,0.6383542,0.1343904
13.25081,0.6384277,0.427002,0.8591309,0.007941248,-0.1130101,0.05436701
13.30081,0.5952148,0.3457031,0.5637207,0.02626721,-0.4074471,0.09040806
13.35081,0.6403809,0.404541,0.5793457,0.002443461,-0.03176499,0.08796459
13.40082,0.5036621,0.4289551,0.5979004,0.01710423,0.2797763,0.1661554
13.45082,0.7670898,0.3964844,0.6657715,0.08246681,-0.4318817,0.1582141
13.50082,0.4765625,0.644043,0.3735352,0.4361578,-0.4520403,-0.2590069
13.55083,0.6420898,0.404541,0.7058105,0.1343904,-0.7403687,-0.09590584
13.60083,0.5876465,0.3986816,0.699707,0.1343904,-0.4679228,-0.2089159
13.65083,0.6452637,0.4047852,0.588623,0.0439823,0.140499,-0.09101892
13.70084,0.7111816,0.4289551,0.5095215,-0.01038471,-0.1710423,0.004886922
13.75084,0.6677246,0.451416,0.6367188,0.02015855,-0.7104363,-0.04276057
13.80084,0.6252441,0.480957,0.7114258,0.0299324,-0.4294383,-0.04031711
13.85085,0.7058105,0.4377441,0.583252,-0.02748894,0.2828306,-0.07269296
13.90085,0.7485352,0.4047852,0.4934082,-0.07941248,-0.1508837,0.06780604
13.95085,0.6721191,0.4584961,0.5290527,-0.05864307,-0.2229658,-0.009773844
14.00085,0.6955566,0.4538574,0.6159668,-0.04459316,-0.3139847,0.02382374
14.05086,0.6845703,0.4506836,0.5986328,-0.03665191,0.03604105,-0.01649336
14.10086,0.6477051,0.4580078,0.5361328,-0.03726278,0.2608395,0.05009095
14.15086,0.7341309,0.4504395,0.5368652,-0.0006108652,0.07391469,-0.003054326
14.20087,0.6896973,0.4277344,0.5637207,0.004276057,-0.08552113,-0.004886922
14.25087,0.6943359,0.4550781,0.557373,-0.006108652,-0.1484403,0.01160644
14.30087,0.6791992,0.4467773,0.5537109,0.01343904,-0.05864307,0.02076942
14.35088,0.7050781,0.4458008,0.5527344,0.02260201,-0.07635815,-0.01832596
14.40088,0.7163086,0.4331055,0.5407715,0.01466077,-0.1881465,-0.05131268
14.45088,0.734375,0.4594727,0.567627,0.02321288,-0.09224065,-0.0122173
14.50089,0.6882324,0.4677734,0.5537109,0.03420845,0.07757989,0.05986479
14.55089,0.7351074,0.4477539,0.583252,0.005497787,0.06475171,0.1056797
14.60089,0.6796875,0.4394531,0.5317383,-0.01710423,0.006108652,0.1154535
14.65089,0.6989746,0.4135742,0.5556641,-0.0561996,-0.02443461,0.1062905
14.7009,0.6616211,0.4243164,0.5878906,-0.06597345,0.03543019,0.06658431
14.7509,0.7248535,0.4128418,0.5559082,-0.07452556,0.0561996,0.03543019
14.8009,0.7050781,0.3989258,0.5566406,-0.086132,-0.1203405,-0.005497787
14.85091,0.6914063,0.4050293,0.559082,-0.09101892,0.07635815,0.01710423
14.90091,0.7419434,0.4262696,0.5632324,-0.09407325,-0.04886922,0.04581489
14.95091,0.6750488,0.4213867,0.5410156,-0.07696902,0.07330383,0.05864307
15.00092,0.5893555,0.4482422,0.9169922,-0.1728749,0.7269297,0.1521055
15.05092,0.7529297,0.3942871,0.5720215,-0.05925393,-0.4434882,0.0158825
15.10092,0.5998535,0.3981934,0.5678711,-0.03176499,0.0299324,-0.05497787
15.15092,0.7729492,0.4245605,0.5725098,0.006108652,0.1484403,-0.0299324
15.20093,0.7258301,0.3833008,0.5864258,-0.02321288,-0.4141666,-0.09529497
15.25093,0.7302246,0.3979492,0.5900879,0.009162978,-0.3207043,-0.158825
15.30093,0.6486816,0.4208984,0.5712891,-0.01832596,0.1899791,-0.09040806
15.35094,0.8027344,0.4125976,0.5839844,-0.0439823,-0.3726278,-0.05375614
15.40094,0.7019043,0.4221191,0.5634766,-0.04642576,0.1050688,-0.06719518
15.45094,0.7424316,0.4245605,0.5581055,-0.06108652,-0.04459316,-0.02504547
15.50095,0.6994629,0.4272461,0.5515137,-0.05925393,-0.04031711,-0.0140499
15.55095,0.6938477,0.423584,0.5583496,-0.04459316,-0.04153884,-0.009773844
15.60095,0.7043457,0.4260254,0.5585938,-0.03298672,-0.04031711,-0.01832596
15.65096,0.7145996,0.4187011,0.567627,-0.007941248,-0.04337143,-0.03237586
15.70096,0.684082,0.4189453,0.5256348,0.005497787,0.1362229,-0.001832596
15.75096,0.7331543,0.4243164,0.5654297,0.0122173,-0.1142318,-0.01832596
15.80096,0.7109375,0.4191894,0.5527344,0.02748894,-0.01771509,-0.003665192
15.85097,0.7275391,0.4216308,0.5654297,0.02382374,0.01466077,0.04581489
15.90097,0.6989746,0.4230957,0.5754395,0.02565634,0.03604105,0.05558874
15.95097,0.7009277,0.4121093,0.5600586,0.02260201,0.04092797,0.0439823
16.00098,0.7177734,0.4172363,0.5615234,0.01038471,-0.08246681,0.04520403
16.05098,0.6638184,0.4121093,0.5561523,0.01466077,0.01710423,0.01527163
16.10098,0.7260742,0.4284668,0.564209,0.02321288,0.003054326,0.007330383
16.15099,0.6486816,0.4162597,0.5571289,0.006108652,0.1435533,0.01160644
16.20099,0.6958008,0.4196777,0.541748,0.02504547,0.2907718,0.02443461
16.25099,0.8129883,0.4279785,0.6345215,0.009773844,-0.1777618,-0.04764749
16.30099,0.6347656,0.423584,0.5563965,0.04825835,-0.009773844,-0.02871067
16.351,0.7116699,0.4187011,0.5727539,0.04520403,0.03054326,0.004276057
16.401,0.6623535,0.4345703,0.5725098,0.008552114,0.02687807,0.03543019
16.451,0.6977539,0.4165039,0.5637207,0.009162978,0.12706,0.01343904
16.50101,0.6960449,0.4216308,0.588623,-0.01832596,-0.004276057,0.02015855
