time,x,y,z,phi,theta,psi
9.108887,0.6074219,0.7058105,-0.2983398,0.009773844,-0.02748894,-0.03237586
9.158936,0.5986328,0.7219238,-0.300293,0.06597345,-0.03970624,-0.08796459
9.208984,0.6318359,0.715332,-0.28125,0.01282817,-0.0421497,-0.08124508
9.259033,0.6201172,0.7189941,-0.2893066,0.003665192,-0.04764749,-0.09224065
9.309082,0.6306152,0.7250977,-0.2983398,0.009773844,-0.1093449,-0.05192355
9.359131,0.6047363,0.7492676,-0.2890625,-0.05192355,-0.117897,-0.05009095
9.40918,0.6052246,0.7336426,-0.2924805,-0.03726278,-0.1692097,-0.04153884
9.459229,0.6149902,0.7255859,-0.2866211,-0.06658431,-0.09468412,-0.03848451
9.509277,0.5847168,0.7514648,-0.291748,-0.09162979,-0.1148427,-0.02138028
9.559326,0.5734863,0.7407227,-0.3054199,-0.07330383,-0.1331686,-0.06536258
9.609375,0.5571289,0.7595215,-0.3171387,-0.07819075,-0.0299324,-0.05253441
9.659424,0.5915527,0.7619629,-0.3244629,-0.04764749,-0.06902777,-0.04948008
9.709473,0.6567383,0.7348633,-0.3190918,-0.06719518,-0.1411099,0.0439823
9.759521,0.6315918,0.7302246,-0.2937012,-0.09224065,-0.1154535,0.02565634
9.80957,0.5754395,0.7219238,-0.2888184,-0.1136209,0.01832596,0.01527163
9.859619,0.5646973,0.7646484,-0.3081055,-0.09590584,-0.009162978,-0.008552114
9.909668,0.5681152,0.7368164,-0.3322754,0.002443461,-0.02015855,-0.1075123
9.959717,0.628418,0.7683105,-0.2910156,-0.06658431,0.006719518,-0.05192355
10.00977,0.6293945,0.7678223,-0.2998047,-0.03787364,-0.06352998,-0.05131268
10.05981,0.6003418,0.7368164,-0.291748,-0.07391469,-0.181427,0.003665192
10.10986,0.5280762,0.7436523,-0.2744141,-0.1307252,-0.07513642,-0.06169739
10.15991,0.557373,0.7753906,-0.3125,-0.1203405,0.1172861,-0.0983493
10.20996,0.576416,0.7712402,-0.3337402,-0.09346239,0.1380555,-0.07024951
10.26001,0.5446777,0.7932129,-0.314209,-0.03176499,0.1612684,-0.08307768
10.31006,0.5539551,0.7978516,-0.309082,0.003054326,0.2125811,-0.0983493
10.36011,0.567627,0.7644043,-0.2995605,0.01954769,0.1490511,-0.05497787
10.41016,0.5649414,0.7729492,-0.2902832,0.01954769,0.108734,-0.06047566
10.46021,0.5371094,0.7822266,-0.2954102,-0.005497787,0.1215622,-0.1032362
10.51025,0.5300293,0.776123,-0.3066406,-0.02138028,0.1356121,-0.08918633
10.5603,0.5244141,0.78125,-0.2814941,-0.03115413,0.1533272,-0.1466077
10.61035,0.5310059,0.8178711,-0.2199707,-0.08002335,0.172264,-0.1863139
10.6604,0.5895996,0.8044434,-0.2019043,-0.09101892,0.1288926,-0.122173
10.71045,0.5905762,0.817627,-0.1855469,-0.1545489,0.05436701,-0.1246165
10.7605,0.597168,0.8242187,-0.1906738,-0.2474004,-0.1649336,-0.06291912
10.81055,0.5910645,0.824707,-0.2136231,-0.3048218,-0.3371976,0.06841691
10.8606,0.5952148,0.8215332,-0.2145996,-0.3677409,-0.4465425,0.1795944
10.91064,0.5893555,0.8232422,-0.217041,-0.3549127,-0.5106834,0.2113594
10.96069,0.5617676,0.8078613,-0.2116699,-0.3365867,-0.5143485,0.2382374
11.01074,0.5615234,0.8071289,-0.2216797,-0.3872886,-0.4813618,0.331089
11.06079,0.541748,0.802002,-0.2272949,-0.3634648,-0.3555236,0.3848451
11.11084,0.5168457,0.7990723,-0.2282715,-0.3341433,-0.3414737,0.3109304
11.16089,0.4428711,0.7976074,-0.2446289,-0.2180789,0.0006108652,0.2748893
11.21094,0.5612793,0.7741699,-0.2094726,-0.2046399,0.3604105,0.2150246
11.26099,0.640625,0.7980957,-0.2241211,-0.1295034,0.2113594,0.2064725
11.31104,0.6254883,0.762207,-0.2246094,-0.07696902,-0.03359759,0.1765401
11.36108,0.5803223,0.7504883,-0.1994629,-0.1007928,-0.1478294,0.1740966
11.41113,0.505127,0.7585449,-0.1999512,-0.05742133,0.3512475,0.1185079
11.46118,0.6162109,0.7646484,-0.171875,-0.06597345,0.3958407,0.1191187
11.51123,0.6281738,0.7705078,-0.1586914,0.02260201,0.2742785,0.01771509
11.56128,0.6813965,0.7416992,-0.1396484,-0.009773844,0.1661554,0.06963864
11.61133,0.6459961,0.7429199,-0.1330566,-0.0439823,-0.1826487,0.006108652
11.66138,0.5913086,0.7509766,-0.1101074,-0.08491027,-0.1453859,-0.0158825
11.71143,0.6386719,0.7443848,-0.1542969,-0.1075123,0.02626721,0.04825835
11.76147,0.6459961,0.7648926,-0.1611328,-0.1026254,-0.02321288,0.05742133
11.81152,0.6369629,0.7644043,-0.1655273,-0.03420845,-0.06719518,0.06414085
11.86157,0.6091309,0.7592773,-0.1462402,-0.02076942,0.02260201,0.1032362
11.91162,0.6589355,0.7321777,-0.1113281,-0.05497787,0.1105666,0.1472185
11.96167,0.6342773,0.7568359,-0.1242676,-0.07452556,0.1014036,0.08674286
12.01172,0.6887207,0.7548828,-0.1486816,-0.08246681,0.0439823,0.1142318
12.06177,0.6437988,0.7348633,-0.1237793,-0.09101892,-0.06414085,0.09957103
